title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Ariel,movie,Comedy,1988.0,tt0094675,7.4,9077.0
Ariel,movie,Crime,1988.0,tt0094675,7.4,9077.0
Ariel,movie,Romance,1988.0,tt0094675,7.4,9077.0
Shadows in Paradise,movie,Comedy,1986.0,tt0092149,7.4,7885.0
Shadows in Paradise,movie,Drama,1986.0,tt0092149,7.4,7885.0
Shadows in Paradise,movie,Music,1986.0,tt0092149,7.4,7885.0
Forrest Gump,movie,Drama,1994.0,tt0109830,8.8,2365858.0
Forrest Gump,movie,Romance,1994.0,tt0109830,8.8,2365858.0
American Beauty,movie,Drama,1999.0,tt0169547,8.3,1245164.0
The Fifth Element,movie,Action,1997.0,tt0119116,7.6,524910.0
The Fifth Element,movie,Adventure,1997.0,tt0119116,7.6,524910.0
The Fifth Element,movie,Sci-Fi,1997.0,tt0119116,7.6,524910.0
Jarhead,movie,Biography,2005.0,tt0418763,7.0,214831.0
Jarhead,movie,Drama,2005.0,tt0418763,7.0,214831.0
Jarhead,movie,War,2005.0,tt0418763,7.0,214831.0
Unforgiven,movie,Drama,1992.0,tt0105695,8.2,452358.0
Unforgiven,movie,Western,1992.0,tt0105695,8.2,452358.0
Eternal Sunshine of the Spotless Mind,movie,Drama,2004.0,tt0338013,8.3,1131080.0
Eternal Sunshine of the Spotless Mind,movie,Romance,2004.0,tt0338013,8.3,1131080.0
Eternal Sunshine of the Spotless Mind,movie,Sci-Fi,2004.0,tt0338013,8.3,1131080.0
Amores Perros,movie,Drama,2000.0,tt0245712,8.0,263163.0
Amores Perros,movie,Thriller,2000.0,tt0245712,8.0,263163.0
A History of Violence,movie,Action,2005.0,tt0399146,7.4,263334.0
A History of Violence,movie,Crime,2005.0,tt0399146,7.4,263334.0
A History of Violence,movie,Drama,2005.0,tt0399146,7.4,263334.0
Talk to Her,movie,Drama,2002.0,tt0287467,7.9,119746.0
Talk to Her,movie,Mystery,2002.0,tt0287467,7.9,119746.0
Talk to Her,movie,Romance,2002.0,tt0287467,7.9,119746.0
8 Mile,movie,Drama,2002.0,tt0298203,7.2,336402.0
8 Mile,movie,Music,2002.0,tt0298203,7.2,336402.0
Paradise Now,movie,Crime,2005.0,tt0445620,7.4,24470.0
Paradise Now,movie,Drama,2005.0,tt0445620,7.4,24470.0
Paradise Now,movie,Thriller,2005.0,tt0445620,7.4,24470.0
Million Dollar Baby,movie,Drama,2004.0,tt0405159,8.1,743727.0
Million Dollar Baby,movie,Sport,2004.0,tt0405159,8.1,743727.0
American History X,movie,Crime,1998.0,tt0120586,8.5,1226513.0
American History X,movie,Drama,1998.0,tt0120586,8.5,1226513.0
Mars Attacks!,movie,Comedy,1996.0,tt0116996,6.4,251353.0
Mars Attacks!,movie,Sci-Fi,1996.0,tt0116996,6.4,251353.0
Before Sunrise,movie,Drama,1995.0,tt0112471,8.1,356861.0
Before Sunrise,movie,Romance,1995.0,tt0112471,8.1,356861.0
Memento,movie,Mystery,2000.0,tt0209144,8.4,1372359.0
Memento,movie,Thriller,2000.0,tt0209144,8.4,1372359.0
Hero,movie,Action,2002.0,tt0299977,7.9,190430.0
Hero,movie,Adventure,2002.0,tt0299977,7.9,190430.0
Hero,movie,Drama,2002.0,tt0299977,7.9,190430.0
Before Sunset,movie,Drama,2004.0,tt0381681,8.1,300540.0
Before Sunset,movie,Romance,2004.0,tt0381681,8.1,300540.0
Nausicaä of the Valley of the Wind,movie,Adventure,1984.0,tt0087544,8.0,189810.0
Nausicaä of the Valley of the Wind,movie,Animation,1984.0,tt0087544,8.0,189810.0
Nausicaä of the Valley of the Wind,movie,Sci-Fi,1984.0,tt0087544,8.0,189810.0
Open Water,movie,Adventure,2003.0,tt0374102,5.8,57779.0
Open Water,movie,Drama,2003.0,tt0374102,5.8,57779.0
Open Water,movie,Horror,2003.0,tt0374102,5.8,57779.0
Raiders of the Lost Ark,movie,Action,1981.0,tt0082971,8.4,1069762.0
Raiders of the Lost Ark,movie,Adventure,1981.0,tt0082971,8.4,1069762.0
Indiana Jones and the Temple of Doom,movie,Action,1984.0,tt0087469,7.5,550206.0
Indiana Jones and the Temple of Doom,movie,Adventure,1984.0,tt0087469,7.5,550206.0
